Customer ID,Recence,Frequence,Montant,Churn
12346.0,141,12,77556.46,1
12347.0,62,4,2434.96,0
12348.0,64,4,1709.3999999999999,0
12349.0,223,3,2671.14,0
12350.0,126,1,334.40000000000003,1
12351.0,191,1,300.93,1
12352.0,78,7,1905.6100000000001,0
12353.0,20,2,406.76,1
12354.0,48,1,1079.4,1
12355.0,30,2,947.61,1
12356.0,61,5,6313.38,0
12357.0,204,2,12079.99,0
12358.0,191,3,2719.01,0
12359.0,5,9,6059.09,0
12360.0,16,6,2674.41,0
12361.0,103,4,511.25,1
12362.0,41,3,1104.34,0
12363.0,58,1,299.1,0
12365.0,107,2,641.38,1
12366.0,449,1,500.24,1
12368.0,444,1,917.7,1
12369.0,229,3,1791.15,1
12370.0,90,6,3577.28,0
12371.0,225,3,2179.42,0
12372.0,28,2,914.9200000000001,0
12373.0,127,3,1127.65,1
12374.0,237,3,2246.29,0
12376.0,205,2,503.15,1
12377.0,131,4,3426.32,1
12378.0,378,1,1407.7,0
12379.0,238,2,767.98,0
12380.0,1,8,7559.04,0
12383.0,0,5,1850.56,1
12385.0,195,1,1938.4,1
12386.0,153,2,401.9,1
12387.0,231,1,143.94,1
12388.0,91,5,1886.7,0
12389.0,218,3,1433.33,1
12391.0,280,5,2285.18,0
12392.0,407,1,234.75000000000003,1
12393.0,61,5,1877.95,0
12394.0,33,1,381.08,0
12395.0,27,9,3272.26,0
12396.0,490,1,931.4300000000001,1
12399.0,29,5,1622.6,0
12400.0,230,1,205.25,1
12401.0,119,1,84.3,1
12402.0,139,6,1256.9,1
12403.0,337,1,591.6600000000001,0
12404.0,498,1,63.24,1
12406.0,215,3,2975.06,0
12407.0,51,2,495.96,0
12408.0,76,5,2289.81,0
12409.0,236,4,12346.62,0
12410.0,124,3,1013.71,1
12411.0,225,1,346.9,1
12412.0,218,3,1370.05,0
12413.0,52,3,805.25,0
12414.0,33,6,952.4100000000001,1
12415.0,19,14,70427.74,0
12416.0,472,1,202.56,1
12417.0,3,16,5046.58,0
12418.0,229,3,1352.62,0
12419.0,201,2,503.01,1
12421.0,135,3,449.01,0
12422.0,140,15,4666.74,0
12423.0,7,8,2214.77,0
12424.0,238,2,1579.07,0
12425.0,264,1,964.21,0
12426.0,10,2,1345.21,1
12427.0,187,1,303.5,0
12428.0,58,6,6310.54,0
12429.0,43,6,4173.49,0
12431.0,16,19,7103.3,0
12433.0,182,5,7205.39,0
12434.0,76,2,583.54,0
12435.0,83,5,10075.03,0
12437.0,14,29,9707.08,0
12439.0,498,2,1142.88,1
12440.0,278,2,859.2,1
12441.0,182,1,173.55,1
12443.0,548,1,485.31,1
12445.0,236,1,301.58000000000004,0
12447.0,59,1,476.49,1
12449.0,3,3,1627.53,0
12450.0,215,3,490.32,0
12451.0,34,5,8942.18,0
12454.0,211,4,13151.44,0
12455.0,5,7,5376.39,0
12456.0,70,1,940.1700000000001,0
12457.0,49,4,1699.93,0
12458.0,100,3,1272.01,0
12459.0,421,1,454.36,1
12460.0,272,1,326.65,1
12462.0,119,1,762.11,0
12463.0,22,2,647.95,0
12464.0,16,4,544.85,0
12466.0,498,1,56.73,1
12467.0,239,1,132.8,1
12468.0,3,5,3670.7400000000002,1
12469.0,338,2,3070.54,1
12470.0,505,1,211.95,1
12471.0,26,62,28491.46,0
12472.0,83,15,12726.02,0
12473.0,7,1,661.69,0
12474.0,16,21,7767.79,0
12475.0,225,1,426.26,0
12476.0,34,17,9712.59,0
12477.0,55,5,11633.6,0
12480.0,83,5,3770.4900000000002,0
12481.0,20,12,9689.74,0
12482.0,392,29,23691.4,1
12483.0,21,15,3606.86,0
12484.0,152,7,2965.4500000000003,0
12485.0,345,1,708.1,1
12486.0,247,1,1037.28,1
12487.0,546,1,285.3,1
12489.0,152,1,334.93,1
12490.0,30,13,5601.43,0
12492.0,219,1,452.0,0
12493.0,13,1,232.5,0
12494.0,12,6,1284.81,0
12495.0,456,1,357.4,1
12496.0,436,2,45.34,1
12497.0,216,2,5205.400000000001,0
12499.0,376,1,393.72,1
12500.0,82,12,2907.59,0
12501.0,152,1,2169.39,1
12502.0,33,3,1842.65,0
12503.0,400,1,1126.0,1
12504.0,233,2,297.0,0
12505.0,224,1,955.2,1
12506.0,48,1,73.5,1
12507.0,114,2,985.41,0
12509.0,100,1,176.5,1
12510.0,141,8,4876.5,0
12511.0,244,1,3084.02,1
12514.0,83,2,1597.76,1
12515.0,169,1,383.7,1
12516.0,246,2,1336.56,0
12517.0,6,1,749.7,0
12519.0,292,1,385.70000000000005,0
12520.0,20,3,1697.56,0
12523.0,68,16,3062.77,0
12524.0,20,14,9473.77,0
12525.0,314,3,973.73,1
12527.0,110,4,671.72,0
12528.0,92,2,771.66,0
12529.0,344,1,316.48,1
12530.0,49,7,2901.98,0
12531.0,502,1,1807.98,0
12533.0,443,2,1367.89,1
12535.0,2,1,371.45,0
12537.0,224,1,732.94,1
12538.0,194,1,276.5,0
12539.0,78,6,10164.09,0
12540.0,2,23,15356.77,0
12541.0,96,1,312.4,0
12542.0,300,2,481.88,1
12543.0,264,1,980.25,1
12545.0,75,1,628.15,0
12547.0,13,3,383.58,1
12549.0,391,6,1575.68,1
12551.0,173,1,168.0,1
12553.0,20,7,2651.09,0
12554.0,264,1,468.5,1
12555.0,498,1,129.23,1
12557.0,72,6,10959.800000000001,0
12559.0,126,2,561.71,1
12561.0,118,1,238.85,1
12562.0,14,3,1630.14,0
12563.0,224,1,249.24,1
12564.0,77,1,456.90000000000003,1
12565.0,104,1,145.92000000000002,1
12567.0,0,11,6823.2,0
12568.0,460,1,70.0,1
12569.0,34,5,1164.32,0
12570.0,498,1,77.52,1
12573.0,43,5,717.41,1
12574.0,131,1,218.45000000000002,1
12575.0,273,2,622.82,1
12576.0,34,5,1248.54,0
12577.0,175,6,1186.3899999999999,0
12578.0,146,3,3456.6,0
12580.0,62,2,1052.9,1
12582.0,54,4,1980.4,1
12583.0,16,17,9352.59,0
12584.0,1,2,622.74,0
12585.0,50,2,2040.1,1
12586.0,190,3,1865.73,0
12588.0,215,3,743.88,0
12589.0,237,6,4048.98,0
12590.0,27,2,9864.26,1
12591.0,133,3,1338.95,1
12592.0,29,4,2376.86,0
12593.0,34,1,236.0,0
12594.0,8,11,3516.88,0
12595.0,320,1,299.02,1
12596.0,58,1,269.95,0
12597.0,84,1,516.15,0
12598.0,36,6,2796.75,0
12599.0,24,9,1728.0,0
12600.0,20,17,3684.34,0
12601.0,5,6,681.26,1
12604.0,77,1,178.5,0
12605.0,192,4,1232.95,1
12606.0,498,1,21.0,1
12608.0,220,1,415.79,1
12609.0,2,8,3109.7400000000002,0
12613.0,13,9,4935.51,0
12614.0,93,1,315.6,1
12615.0,229,4,3449.79,0
12616.0,113,2,673.4,0
12619.0,50,3,771.8,0
12620.0,20,1,561.66,0
12621.0,16,25,17977.35,0
12622.0,48,1,180.1,1
12623.0,92,7,3747.84,1
12625.0,27,4,5164.88,1
12626.0,132,2,1274.1000000000001,0
